Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Andrist, Sean; Gleicher, Michael; Mutlu, Bilge; ",Looking coordinated: Bidirectional gaze mechanisms for collaborative interaction with virtual characters,Proceedings of the 2017 CHI conference on human factors in computing systems,,,2571-2582,2017,
"Michaelis, Joseph E; Mutlu, Bilge; ",Someone to read with: Design of and experiences with an in-home learning companion robot for reading,Proceedings of the 2017 CHI conference on human factors in computing systems,,,301-312,2017,
"Turkstra, Lyn Siobhan; Duff, Melissa Collins; Politis, Adam Michael; Mutlu, Bilge; ",Detection of text-based social cues in adults with traumatic brain injury,Neuropsychological rehabilitation,29,5,789-803,2019,Routledge
"Pejsa, Tomislav; Gleicher, Michael; Mutlu, Bilge; ","Who, me? How virtual agents can shape conversational footing in virtual reality",International Conference on Intelligent Virtual Agents,,,347-359,2017,"Springer, Cham"
"Mutlu, Bilge; Duff, Melissa; Turkstra, Lyn; ",Social-cue perception and mentalizing ability following traumatic brain injury: A human-robot interaction study,Brain injury,33,1,23-31,2019,Taylor & Francis
"Rigon, Arianna; Voss, Michelle; Turkstra, Lyn; Mutlu, Bilge; Duff, Melissa; ",Neural mechanism underlying facial affect recognition deficits in TBI: An FMRI study,BRAIN INJURY,31,6-7,942-942,2017,"TAYLOR & FRANCIS INC 530 WALNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA"
"Liu, Oliver; Rakita, Daniel; Mutlu, Bilge; Gleicher, Michael; ",Understanding human-robot interaction in virtual reality,2017 26th IEEE International Symposium on Robot and Human Interactive Communication (RO-MAN),,,751-757,2017,IEEE
"Rae, Irene; Takayama, Leila; Mutlu, Bilge; ",The influence of height in robot-mediated communication,2013 8th ACM/IEEE International Conference on Human-Robot Interaction (HRI),,,1-8,2013,IEEE
"Rae, Irene; Takayama, Leila; Mutlu, Bilge; ","In-body experiences: embodiment, control, and trust in robot-mediated communication",Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,,,1921-1930,2013,
"Rae, Irene; Mutlu, Bilge; Takayama, Leila; ","Bodies in motion: mobility, presence, and task awareness in telepresence",Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,,,2153-2162,2014,
"Rae, Irene; Takayama, Leila; Mutlu, Bilge; ",One of the gang: supporting in-group behavior for embodied mediated communication,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,,,3091-3100,2012,
"Johnson, Steven; Rae, Irene; Mutlu, Bilge; Takayama, Leila; ",Can you see me now? How field of view affects collaboration in robotic telepresence,Proceedings of the 33rd annual acm conference on human factors in computing systems,,,2397-2406,2015,
"Huang, Chien-Ming; Mutlu, Bilge; ",The repertoire of robot behavior: Designing social behaviors to support human-robot joint activity,Journal of Human-Robot Interaction,2,2,80-102,2013,
"Mutlu, Bilge; Andrist, Sean; Sauppé, Allison; ",Enabling human-robot dialogue,Robots that Talk and Listen. Berlin: De Gruyter,,,81-124,2015,
"Rae, Irene; Mutlu, Bilge; Olson, Gary M; Olson, Judith S; Takayama, Leila; Venolia, Gina; ",Everyday telepresence: Emerging practices and future research directions,Proceedings of the 33rd Annual ACM Conference Extended Abstracts on Human Factors in Computing Systems,,,2409-2412,2015,
"Mutlu, Bilge Dinçer; ",Tasarım Yeniliği İçin Kullanıcı Merkezli Yeni Yöntemler: Yeni Ortaya Çıkan Yöntemlerin Yenilikçi Ürün Tasarımı Ve Geliştirmedeki Rolü Üzerine Bir Çalışma,,,,,2003,Fen Bilimleri Enstitüsü
"Choi, Mina; Kornfield, Rachel; Takayama, Leila; Mutlu, Bilge; ",Movement matters: effects of motion and mimicry on perception of similarity and closeness in robot-mediated communication,Proceedings of the 2017 CHI conference on human factors in computing systems,,,325-335,2017,
"Huang, Hung-Hsuan; Jokinen, Kristiina; Nakano, Yukiko I; Anrist, Sean; Bortz, Brennon; Buschmeier, Hendrik; Conati, Cristina; Eivazi, Shahram; Foster, Mary Ellen; Epps, Julien; ",GazeIn 2013 Workshop Organization,,,,,,
"Turkstra, LS; Norman, RS; Mutlu, B; Duff, MC; ",Impaired theory of mind in adults with traumatic brain injury: A replication and extension of findings,Neuropsychologia,111,,117-122,2018,Pergamon
"Pearce, Margaret; Mutlu, Bilge; Shah, Julie; Radwin, Robert; ",Optimizing makespan and ergonomics in integrating collaborative robots into manufacturing processes,IEEE transactions on automation science and engineering,15,4,1772-1784,2018,IEEE
"Rakita, Daniel; Mutlu, Bilge; Gleicher, Michael; Hiatt, Laura M; ",Shared dynamic curves: A shared-control telemanipulation method for motor task training,Proceedings of the 2018 ACM/IEEE International Conference on Human-Robot Interaction,,,23-31,2018,
"Rakita, Daniel; Mutlu, Bilge; Gleicher, Michael; ",An autonomous dynamic camera method for effective remote teleoperation,Proceedings of the 2018 ACM/IEEE International Conference on Human-Robot Interaction,,,325-333,2018,
"Deng, Eric C; Mutlu, Bilge; Mataric, Maja J; ",Formalizing the design space and product development cycle for socially interactive robots,Workshop on Social Robots in the Wild at the 2018 ACM Conference on Human-Robot Interaction (HRI),,,,2018,
"Rigon, Arianna; Voss, Michelle W; Turkstra, Lyn S; Mutlu, Bilge; Duff, Melissa C; ",Different aspects of facial affect recognition impairment following traumatic brain injury: The role of perceptual and interpretative abilities,Journal of clinical and experimental neuropsychology,40,8,805-819,2018,Routledge
"Meschtscherjakov, Alexander; Tscheligi, Manfred; Pfleging, Bastian; Sadeghian Borojeni, Shadan; Ju, Wendy; Palanque, Philippe; Riener, Andreas; Mutlu, Bilge; Kun, Andrew L; ",Interacting with autonomous vehicles: Learning from other domains,Extended abstracts of the 2018 CHI conference on human factors in computing Systems,,,1-8,2018,
"Rigon, Arianna; Voss, Michelle W; Turkstra, Lyn S; Mutlu, Bilge; Duff, Melissa C; ",Functional neural correlates of facial affect recognition impairment following TBI,Brain imaging and behavior,13,2,526-540,2019,Springer US
"Rigon, Arianna; Turkstra, Lyn S; Mutlu, Bilge; Duff, Melissa C; ",Facial-affect recognition deficit as a predictor of different aspects of social-communication impairment in traumatic brain injury.,Neuropsychology,32,4,476,2018,American Psychological Association
"Rigon, Arianna; Voss, Michelle W; Turkstra, Lyn S; Mutlu, Bilge; Duff, Melissa C; ",White matter correlates of different aspects of facial affect recognition impairment following traumatic brain injury,Social neuroscience,14,4,434-448,2019,Routledge
"Rakita, Daniel; Mutlu, Bilge; Gleicher, Michael; ",RelaxedIK: Real-time Synthesis of Accurate and Feasible Robot Arm Motion.,Robotics: Science and Systems,,,26-30,2018,"Pittsburgh, PA"
"Michaelis, Joseph E; Mutlu, Bilge; ",Reading socially: Transforming the in-home reading experience with a learning-companion robot,Science Robotics,3,21,,2018,Science Robotics
"Bodden, Christopher; Rakita, Daniel; Mutlu, Bilge; Gleicher, Michael; ",A flexible optimization-based method for synthesizing intent-expressive robot arm motion,The International Journal of Robotics Research,37,11,1376-1394,2018,"SAGE Publications Sage UK: London, England"
"Flynn, Margaret A; Mutlu, Bilge; Duff, Melissa C; Turkstra, Lyn S; ","Friendship quality, friendship quantity, and social participation in adults with traumatic brain injury",Seminars in speech and language,39,05,416-426,2018,Thieme Medical Publishers
"Porfirio, David; Sauppé, Allison; Albarghouthi, Aws; Mutlu, Bilge; ",Authoring and verifying human-robot interactions,Proceedings of the 31st Annual ACM Symposium on User Interface Software and Technology,,,75-86,2018,
"Politis, Adam; Mutlu, Bilge; Turkstra, Lyn; Duff, Melissa; ",Psychological Distress and Communication Challenges in Adults With TBI,Archives of Physical Medicine and Rehabilitation,99,11,e146,2018,Elsevier
"Paxton, Chris; Jonathan, Felix; Hundt, Andrew; Mutlu, Bilge; Hager, Gregory D; ",Evaluating methods for end-user creation of robot task plans,2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),,,6086-6092,2018,IEEE
"Chandrasekaran, Varun; Fawaz, Kassem; Mutlu, Bilge; Banerjee, Suman; ",Characterizing privacy perceptions of voice assistants: A technology probe study,arXiv preprint arXiv:1812.00263,,,,2018,
"Byom, Lindsey; Duff, Melissa; Mutlu, Bilge; Turkstra, Lyn; ",Facial emotion recognition of older adults with traumatic brain injury,Brain injury,33,3,322-332,2019,Taylor & Francis
"Cuijpers, Raymond H; Bruna, Maarten T; Ham, Jaap RC; Torta, Elena; ",Attitude towards robots depends on interaction but not on anticipatory behaviour,International Conference on Social Robotics,,,163-172,2011,"Springer, Berlin, Heidelberg"
"Deng, Eric; Mutlu, Bilge; Mataric, Maja; ",Embodiment in socially interactive robots,arXiv preprint arXiv:1912.00312,,,,2019,
"Praveena, Pragathi; Subramani, Guru; Mutlu, Bilge; Gleicher, Michael; ",Characterizing input methods for human-to-robot demonstrations,2019 14th ACM/IEEE International Conference on Human-Robot Interaction (HRI),,,344-353,2019,IEEE
"Mutlu, B; ",A storytelling robot: Modeling and evaluation of human-like gaze behavior. under review,International Conference on Humanoid Robots,,,,2006,
"Michaelis, Joseph E; Mutlu, Bilge; ",Social Reading: Field Study with an In-Home Learning Companion Robot,,,,,2018,"International Society of the Learning Sciences, Inc.[ISLS]."
"Praveena, Pragathi; Subramani, Guru; Mutlu, Bilge; Gleicher, Michael; ",Supplementary Material for Characterizing Input Methods for Human-to-Robot Demonstrations,2019 14th ACM/IEEE International Conference on Human-Robot Interaction (HRI),,,1-3,2019,IEEE
"Porfirio, David; Sauppé, Allison; Albarghouthi, Aws; Mutlu, Bilge; ",Computational tools for human-robot interaction design,2019 14th ACM/IEEE International Conference on Human-Robot Interaction (HRI),,,733-735,2019,IEEE
"Rakita, Daniel; Mutlu, Bilge; Gleicher, Michael; ",Stampede: A discrete-optimization method for solving pathwise-inverse kinematics,2019 International Conference on Robotics and Automation (ICRA),,,3507-3513,2019,IEEE
"Praveena, Pragathi; Rakita, Daniel; Mutlu, Bilge; Gleicher, Michael; ",User-guided offline synthesis of robot arm motion from 6-dof paths,2019 International Conference on Robotics and Automation (ICRA),,,8825-8831,2019,IEEE
"Michaelis, Joseph E; Mutlu, Bilge; ",Supporting interest in science learning with a social robot,Proceedings of the 18th ACM International Conference on Interaction Design and Children,,,71-82,2019,
"Flynn, Margaret A; Rigon, Arianna; Kornfield, Rachel; Mutlu, Bilge; Duff, Melissa C; Turkstra, Lyn S; ","Characterizing computer-mediated communication, friendship, and social participation in adults with traumatic brain injury",Brain injury,33,8,1097-1104,2019,Taylor & Francis
"Edwards, Malcolm; Rigon, Arianna; Mutlu, Bilge; Turkstra, Lyn; Voss, Michelle; Duff, Melissa; ",White Matter Correlates of Theory of Mind Impairment in TBI: Structural Integrity of the Uncinate Fasciculus is Related to performance on the Reading the Mind in the Eyes Task,BRAIN INJURY,33,,254-254,2019,"TAYLOR & FRANCIS LTD 2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON …"
"Duff, Melissa; Rigon, Arianna; Kim, Jee-Seon; Mutlu, Bilge; Turkstra, Lyn; ",Individual Differences in Social Perception and Social Communication in Adults with Moderate-Severe Traumatic Brain Injury,BRAIN INJURY,33,,46-46,2019,"TAYLOR & FRANCIS LTD 2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON …"
"Mutlu, Bilge; Duff, Melissa; Turkstra, Lyn; ",The Regulation of Intimacy and Personal Space Following Traumatic Brain Injury: A Human-Robot Interaction Study,BRAIN INJURY,33,,72-73,2019,"TAYLOR & FRANCIS LTD 2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON …"
"Rakita, Daniel; Mutlu, Bilge; Gleicher, Michael; Hiatt, Laura M; ",Shared control–based bimanual robot manipulation,Science Robotics,4,30,,2019,Science Robotics
"Rakita, Daniel; Mutlu, Bilge; Gleicher, Michael; ",Remote telemanipulation with adapting viewpoints in visually complex environments,Robotics: Science and Systems XV,,,,2019,
"Porfirio, David; Fisher, Evan; Sauppé, Allison; Albarghouthi, Aws; Mutlu, Bilge; ",Bodystorming human-robot interactions,Proceedings of the 32nd Annual ACM Symposium on User Interface Software and Technology,,,479-491,2019,
"Chandrasekaran, Varun; Linden, Thomas; Fawaz, Kassem; Mutlu, Bilge; Banerjee, Suman; ",Blackout and obfuscator: an exploration of the design space for privacy-preserving interventions for voice assistants,arXiv preprint arXiv:1812.00263,,,,2018,
"Turkstra, Lyn S; Mutlu, Bilge; Ryan, Caitlin W; Despins Stafslien, Emily H; Richmond, Erica K; Hosokawa, Emily; Duff, Melissa C; ",Sex and gender differences in emotion recognition and theory of mind after TBI: a narrative review and directions for future research,Frontiers in neurology,11,,59,2020,Frontiers
"Rakita, Daniel; Mutlu, Bilge; Gleicher, Michael; ",Effects of Onset Latency and Robot Speed Delays on Mimicry-Control Teleoperation,HRI'20: Proceedings of the 2020 ACM/IEEE International Conference on Human-Robot Interaction,,,,2020,
"Terzioğlu, Yunus; Mutlu, Bilge; Şahin, Erol; ",Designing social cues for collaborative robots: the role of gaze and breathing in human-robot collaboration,Proceedings of the 2020 ACM/IEEE International Conference on Human-Robot Interaction,,,343-357,2020,
"Praveena, Pragathi; Rakita, Daniel; Mutlu, Bilge; Gleicher, Michael; ",Supporting Perception of Weight through Motion-induced Sensory Conflicts in Robot Teleoperation,Proceedings of the 2020 ACM/IEEE International Conference on Human-Robot Interaction,,,509-517,2020,
"Porfirio, David; Sauppé, Allison; Albarghouthi, Aws; Mutlu, Bilge; ",Transforming robot programs based on social context,Proceedings of the 2020 CHI conference on human factors in computing systems,,,1-12,2020,
"Michaelis, Joseph E; Siebert-Evenstone, Amanda; Shaffer, David Williamson; Mutlu, Bilge; ",Collaborative or simply uncaged? understanding human-cobot interactions in automation,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems,,,1-12,2020,
"Mutlu, B; Er, A; ",Yeni Ürün Tasarımında Kültürel Kaynaklı Kullanıcı Gereksinimleri ve Küresel Rekabet: Arçelik-Tiryaki Örneği,Cultural user requirements in new product design and global competition–Arçelik Tiryaki case]. PI.: Pazarlama ve I. letisim Kültürü Dergisi [Pi: Marketing and Communications Culture Journal],2,6,19-23,2003,
"Cagiltay, Bengisu; Ho, Hui-Ru; Michaelis, Joseph E; Mutlu, Bilge; ",Investigating family perceptions and design preferences for an in-home robot,Proceedings of the interaction design and children conference,,,229-242,2020,
"Mutlu, Bilge; Bartneck, Christoph; Ham, Jaap; Evers, Vanessa; ",Proceedings of the Third international conference on Social Robotics,,,,,2011,Springer-Verlag
"Rakita, Daniel; Mutlu, Bilge; Gleicher, Michael; ",An analysis of RelaxedIK: an optimization-based framework for generating accurate and feasible robot arm motions,Autonomous Robots,44,7,1341-1358,2020,Springer US
"Mutlu, Bilge; ",The virtual and the physical: two frames of mind,Iscience,24,2,101965,2021,Elsevier
"Zhao, Fangyun; Henrichs, Curt; Mutlu, Bilge; ",Task Interdependence in Human-Robot Teaming,2020 29th IEEE International Conference on Robot and Human Interactive Communication (RO-MAN),,,1143-1149,2020,IEEE
"Schoen, Andrew; Henrichs, Curt; Strohkirch, Mathias; Mutlu, Bilge; ",Authr: A Task Authoring Environment for Human-Robot Teams,Proceedings of the 33rd Annual ACM Symposium on User Interface Software and Technology,,,1194-1208,2020,
"ALEAHMAD, Turadg; ALLIN, Sonya J; ANKOLEKAR, Anupriya; ANTHONY, Lisa; AVRAHAMI, Daniel; BAKER, Ryan Shaun; BALAKRISHNAN, Aruna D; BANOVIC, Nikola; BAUER, Aaron; BURKE, Moira; ",2002-2021 Theses by Author,,,,,,
"Porfirio, David J; Stegner, Laura; Cakmak, Maya; Sauppé, Allison; Albarghouthi, Aws; Mutlu, Bilge; ",Figaro: A Tabletop Authoring Environment for Human-Robot Interaction,Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems,,,1-15,2021,
"Siebert-Evenstone, Amanda; Michaelis, Joseph E; Shaffer, David Williamson; Mutlu, Bilge; ",Safety First: Developing a Model of Expertise in Collaborative Robotics,International Conference on Quantitative Ethnography,,,304-318,2021,"Springer, Cham"
"Shaffer, David Williamson; Mutlu, Bilge; ",Safety First: Developing a Model of Expertise in Collaborative Robotics,"Advances in Quantitative Ethnography: Second International Conference, ICQE 2020, Malibu, CA, USA, February 1-3, 2021, Proceedings",1312,,304,2021,Springer Nature
"Hagenow, Michael; Senft, Emmanuel; Radwin, Robert; Gleicher, Michael; Mutlu, Bilge; Zinn, Michael; ",Corrective Shared Autonomy for Addressing Task Variability,IEEE Robotics and Automation Letters,6,2,3720-3727,2021,IEEE
"Rakita, Daniel; Shi, Haochen; Mutlu, Bilge; Gleicher, Michael; ",CollisionIK: A Per-Instant Pose Optimization Method for Generating Robot Motions with Environment Collision Avoidance,arXiv preprint arXiv:2102.13187,,,,2021,
"Porfirio, David; Sauppe, Allison; Mutlu, Bilge; Albarghouthi, Aws; ",Designing and Applying Formal Verification to the Analysis of Human-Robot Interactions,,,,,,
"Rakita, Daniel; Mutlu, Bilge; Gleicher, Michael; ",Single-query Path Planning Using Sample-efficient Probability Informed Trees,IEEE Robotics and Automation Letters,6,3,4624-4631,2021,IEEE
"Schoen, Andrew; Mutlu, Bilge; ",Beyond the Basic Emotions,,,,,,
"Rakita, Daniel; Mutlu, Bilge; Gleicher, Michael; ",Strobe: An Acceleration Meta-algorithm for Optimizing Robot Paths using Concurrent Interleaved Sub-Epoch Pods,arXiv preprint arXiv:2106.00153,,,,2021,
"Hagenow, Michael; Zhang, Bolun; Mutlu, Bilge; Zinn, Michael; Gleicher, Michael; ",Recognizing orientation slip in human demonstrations,2021 IEEE International Conference on Robotics and Automation (ICRA),,,2790-2797,2021,IEEE
"Duff, Melissa C; Mutlu, Bilge; Byom, Lindsey J; Turkstra, Lyn S; ",Communication as distributed cognition: Novel theoretical and methodological approaches to disruptions in social communication following acquired brain injury,Routledge Handbook of Communication Disorders,,,428-440,2015,Routledge
"Kang, DaYe; Ho, Tony; Marquardt, Nicolai; Mutlu, Bilge; Bianchi, Andrea; ",ToonNote: Improving Communication in Computational Notebooks Using Interactive Data Comics,Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems,,,1-14,2021,
"Mutlu, Bilge; ",Session details: Talking with robots: linguistics and natural language,,,,,,
"Ho, Hui-Ru; Cagiltay, Bengisu; White, Nathan Thomas; Hubbard, Edward M; Mutlu, Bilge; ",RoboMath: Designing a Learning Companion Robot to Support Children’s Numerical Skills,Interaction Design and Children,,,283-293,2021,
"White, Nathan Thomas; Cagiltay, Bengisu; Michaelis, Joseph E; Mutlu, Bilge; ",Designing Emotionally Expressive Social Commentary to Facilitate Child-Robot Interaction,Interaction Design and Children,,,314-325,2021,
"Hu, Yaxin; Feng, Lingjie; Mutlu, Bilge; Admoni, Henny; ",Exploring the Role of Social Robot Behaviors in a Creative Activity,Designing Interactive Systems Conference 2021,,,1380-1389,2021,
"Hagenow, Michael; Senft, Emmanuel; Radwin, Robert; Gleicher, Michael; Mutlu, Bilge; Zinn, Michael; ",Informing Real-time Corrections in Corrective Shared Autonomy Through Expert Demonstrations,IEEE Robotics and Automation Letters,6,4,6442-6449,2021,IEEE
"Bhat, Prajna; Senft, Emmanuel; Zinn, Michael; Gleicher, Michael; Mutlu, Bilge; Cook, Rebecca; Radwin, Robert G; ",Assessing limited visibility feedback for overhead manufacturing assembly tasks,Applied Ergonomics,97,,103531,2021,Elsevier
"Chandrasekaran, Varun; Banerjee, Suman; Mutlu, Bilge; Fawaz, Kassem; ",{PowerCut} and Obfuscator: An Exploration of the Design Space for {Privacy-Preserving} Interventions for Smart Speakers,Seventeenth Symposium on Usable Privacy and Security (SOUPS 2021),,,535-552,2021,
"Zhang, Bolun; Hagenow, Michael; Mutlu, Bilge; Gleicher, Michael; Zinn, Michael; ",Characterizing the Effects of Haptic Rendering Parameter Variations on Perceived Kinesthetic Rendering Accuracy,2021 IEEE World Haptics Conference (WHC),,,868-868,2021,IEEE
"Senft, Emmanuel; Hagenow, Michael; Radwin, Robert; Zinn, Michael; Gleicher, Michael; Mutlu, Bilge; ",Situated Live Programming for Human-Robot Collaboration,The 34th Annual ACM Symposium on User Interface Software and Technology,,,613-625,2021,
"Henrichs, Curt; Zhao, Fangyun; Mutlu, Bilge; ",Designing Interface Aids to Assist Collaborative Robot Operators in Attention Management,2021 30th IEEE International Conference on Robot & Human Interactive Communication (RO-MAN),,,264-271,2021,IEEE
"Morrow, Emily L; Zhao, Fangyun; Turkstra, Lyn; Toma, Catalina; Mutlu, Bilge; Duff, Melissa C; ",Computer-mediated communication in adults with and without moderate-to-severe traumatic brain injury: survey of social media use,JMIR rehabilitation and assistive technologies,8,3,e26586,2021,"JMIR Publications Inc., Toronto, Canada"
"Senft, Emmanuel; Hagenow, Michael; Welsh, Kevin; Radwin, Robert; Zinn, Michael; Gleicher, Michael; Mutlu, Bilge; ",Task-Level Authoring for Remote Robot Teleoperation,Frontiers in Robotics and AI,,,302,2021,Frontiers
"Murray, Michael; Walker, Nick; Nanavati, Amal; Alves-Oliveira, Patricia; Filippov, Nikita; Sauppé, Allison; Mutlu, Bilge; Cakmak, Maya; ",Learning Backchanneling Behaviors for a Social Robot via Data Augmentation from Human-Human Conversations,Conference on Robot Learning,,,513-525,2022,PMLR
"McDonnell, Rachel; Mutlu, Bilge; ",Appearance,"The Handbook on Socially Interactive Agents: 20 years of Research on Embodied Conversational Agents, Intelligent Virtual Agents, and Social Robotics Volume 1: Methods, Behavior, Cognition",,,105-146,2021,
"Michaelis, Joseph E; Mutlu, Bilge; ",""" That Was Mindblowing”: How Reading with a Social Robot Enhances Science Learning Experiences",Proceedings of the 15th International Conference of the Learning Sciences-ICLS 2021.,,,,2021,International Society of the Learning Sciences
"Kornfield, Rachel; Rae, Irene; Mutlu, Bilge; ",So Close and Yet So Far: How Embodiment Shapes the Effects of Distance in Remote Collaboration,Communication Studies,,,1-27,2021,Routledge
"Tang, Brian; Sullivan, Dakota; Cagiltay, Bengisu; Chandrasekaran, Varun; Fawaz, Kassem; Mutlu, Bilge; ",CONFIDANT: A Privacy Controller for Social Robots,arXiv preprint arXiv:2201.02712,,,,2022,
